Date,Price,Open,High,Low,Volume,Change,
"Dec 31, 2015","26,117.54","25,980.86","26,147.63","25,941.91",6.38K,0.61%,
"Jan 01, 2016","26,160.90","26,101.50","26,197.27","26,008.20",6.06K,0.17%,
"Jan 04, 2016","25,623.35","26,116.52","26,116.52","25,596.57",9.44K,-2.05%,
"Jan 05, 2016","25,580.34","25,744.70","25,766.76","25,513.75",10.57K,-0.17%,
"Jan 06, 2016","25,406.33","25,628.23","25,632.57","25,357.70",13.81K,-0.68%,
"Jan 07, 2016","24,851.83","25,224.70","25,230.35","24,825.70",12.25K,-2.18%,
"Jan 08, 2016","24,934.33","24,969.02","25,083.55","24,887.22",16.42K,0.33%,
"Jan 11, 2016","24,825.04","24,787.11","24,961.88","24,598.90",10.94K,-0.44%,
"Jan 12, 2016","24,682.03","24,862.93","24,882.30","24,597.11",10.61K,-0.58%,
"Jan 13, 2016","24,854.11","24,804.64","24,956.54","24,387.69",14.36K,0.70%,
"Jan 14, 2016","24,772.97","24,606.20","25,018.46","24,473.22",15.39K,-0.33%,
"Jan 15, 2016","24,455.04","24,881.76","24,912.64","24,421.53",13.13K,-1.28%,
"Jan 18, 2016","24,188.37","24,400.78","24,524.85","24,141.99",14.04K,-1.09%,
"Jan 19, 2016","24,479.84","24,257.28","24,563.34","24,247.23",9.75K,1.21%,
"Jan 20, 2016","24,062.04","24,325.77","24,325.77","23,839.76",13.15K,-1.71%,
"Jan 21, 2016","23,962.21","24,194.75","24,351.83","23,862.00",13.59K,-0.41%,
"Jan 22, 2016","24,435.66","24,122.06","24,472.88","24,120.04",10.42K,1.98%,
"Jan 25, 2016","24,485.95","24,540.97","24,650.57","24,433.67",9.20K,0.21%,
"Jan 27, 2016","24,492.39","24,643.13","24,645.70","24,458.13",8.80K,0.03%,
"Jan 28, 2016","24,469.57","24,481.86","24,587.20","24,400.52",8.74K,-0.09%,
"Jan 29, 2016","24,870.69","24,347.31","24,911.90","24,340.06",12.75K,1.64%,
"Feb 01, 2016","24,824.83","24,982.22","25,002.32","24,788.58",10.39K,-0.18%,
"Feb 02, 2016","24,539.00","24,868.21","24,928.75","24,460.53",13.07K,-1.15%,
"Feb 03, 2016","24,223.32","24,393.59","24,409.26","24,187.54",12.62K,-1.29%,
"Feb 04, 2016","24,338.43","24,386.45","24,514.01","24,224.74",12.61K,0.48%,
"Feb 05, 2016","24,616.97","24,360.36","24,672.90","24,345.79",13.81K,1.14%,
"Feb 08, 2016","24,287.42","24,637.41","24,698.95","24,196.84",12.09K,-1.34%,
"Feb 09, 2016","24,020.98","24,076.85","24,111.19","23,919.47",11.86K,-1.10%,
"Feb 10, 2016","23,758.90","23,938.32","23,938.32","23,636.72",19.97K,-1.09%,
"Feb 11, 2016","22,951.83","23,758.46","23,758.46","22,909.12",23.89K,-3.40%,
"Feb 12, 2016","22,986.12","23,060.39","23,161.15","22,600.39",25.94K,0.15%,
"Feb 15, 2016","23,554.12","23,223.43","23,622.64","23,197.67",21.01K,2.47%,
"Feb 16, 2016","23,191.97","23,688.61","23,692.08","23,164.54",22.89K,-1.54%,
"Feb 17, 2016","23,381.87","23,237.23","23,434.91","22,920.84",17.06K,0.82%,
"Feb 18, 2016","23,649.22","23,536.47","23,735.35","23,448.21",16.19K,1.14%,
"Feb 19, 2016","23,709.15","23,640.32","23,774.48","23,508.36",11.97K,0.25%,
"Feb 22, 2016","23,788.79","23,783.47","23,855.04","23,674.86",9.85K,0.34%,
"Feb 23, 2016","23,410.18","23,850.41","23,851.51","23,361.94",17.23K,-1.59%,
"Feb 24, 2016","23,088.93","23,332.94","23,338.89","23,057.45",14.36K,-1.37%,
"Feb 25, 2016","22,976.00","23,105.16","23,142.96","22,948.10",16.37K,-0.49%,
"Feb 26, 2016","23,154.30","23,141.08","23,227.91","23,021.94",11.92K,0.78%,
"Feb 29, 2016","23,002.00","23,238.50","23,343.22","22,494.61",60.66K,-0.66%,
"Mar 01, 2016","23,779.35","23,153.32","23,821.49","23,133.18",16.17K,3.38%,
"Mar 02, 2016","24,242.98","24,044.96","24,280.42","24,043.89",23.47K,1.95%,
"Mar 03, 2016","24,606.99","24,386.67","24,640.51","24,383.28",20.06K,1.50%,
"Mar 04, 2016","24,646.48","24,704.59","24,719.05","24,531.80",17.97K,0.16%,
"Mar 08, 2016","24,659.23","24,655.19","24,793.62","24,509.21",26.79K,0.05%,
"Mar 09, 2016","24,793.96","24,527.27","24,820.76","24,451.60",12.30K,0.55%,
"Mar 10, 2016","24,623.34","24,815.70","24,817.48","24,471.39",14.81K,-0.69%,
"Mar 11, 2016","24,717.99","24,620.39","24,817.80","24,552.26",15.33K,0.38%,
"Mar 14, 2016","24,804.28","24,801.70","24,960.51","24,734.04",31.03K,0.35%,
"Mar 15, 2016","24,551.17","24,832.04","24,840.77","24,517.28",12.53K,-1.02%,
"Mar 16, 2016","24,682.48","24,537.61","24,706.85","24,354.55",11.27K,0.53%,
"Mar 17, 2016","24,677.37","24,852.18","24,948.30","24,576.52",15.14K,-0.02%,
"Mar 18, 2016","24,952.74","24,729.41","24,986.94","24,681.64",14.55K,1.12%,
"Mar 21, 2016","25,285.37","25,007.56","25,327.45","24,988.27",12.80K,1.33%,
"Mar 22, 2016","25,330.49","25,331.01","25,381.33","25,083.70",12.43K,0.18%,
"Mar 23, 2016","25,337.56","25,322.10","25,367.81","25,156.82",9.78K,0.03%,
"Mar 28, 2016","24,966.40","25,417.11","25,432.94","24,895.49",10.36K,-1.46%,
"Mar 29, 2016","24,900.46","24,957.24","25,079.35","24,835.56",11.29K,-0.26%,
"Mar 30, 2016","25,338.58","25,062.06","25,358.84","25,055.42",11.05K,1.76%,
"Mar 31, 2016","25,341.86","25,364.75","25,479.62","25,223.22",11.92K,0.01%,
"Apr 01, 2016","25,269.64","25,301.70","25,354.94","25,119.35",11.84K,-0.28%,
"Apr 04, 2016","25,399.65","25,333.98","25,424.15","25,223.49",8.04K,0.51%,
"Apr 05, 2016","24,883.59","25,372.44","25,372.44","24,837.51",15.31K,-2.03%,
"Apr 06, 2016","24,900.63","24,978.86","25,000.65","24,834.16",10.59K,0.07%,
"Apr 07, 2016","24,685.42","24,998.79","25,013.13","24,647.48",19.78K,-0.86%,
"Apr 08, 2016","24,673.84","24,665.80","24,736.03","24,608.51",10.00K,-0.05%,
"Apr 11, 2016","25,022.16","24,789.40","25,049.92","24,523.20",26.72K,1.41%,
"Apr 12, 2016","25,145.59","25,056.47","25,180.02","24,996.44",11.90K,0.49%,
"Apr 13, 2016","25,626.75","25,358.42","25,671.50","25,358.42",15.00K,1.91%,
"Apr 18, 2016","25,816.36","25,833.16","25,870.03","25,634.12",8.81K,0.74%,
"Apr 20, 2016","25,844.18","25,942.34","25,956.34","25,716.81",11.64K,0.11%,
"Apr 21, 2016","25,880.38","25,979.68","26,080.07","25,783.12",18.67K,0.14%,
"Apr 22, 2016","25,838.14","25,892.49","25,922.02","25,771.88",13.78K,-0.16%,
"Apr 25, 2016","25,678.93","25,891.03","25,891.03","25,585.93",8.49K,-0.62%,
"Apr 26, 2016","26,007.30","25,604.92","26,055.00","25,549.05",11.55K,1.28%,
"Apr 27, 2016","26,064.12","25,956.42","26,092.93","25,885.24",11.52K,0.22%,
"Apr 28, 2016","25,603.10","26,078.28","26,100.54","25,561.17",15.09K,-1.77%,
"Apr 29, 2016","25,606.62","25,612.91","25,755.43","25,424.03",15.15K,0.01%,
"May 02, 2016","25,436.97","25,565.44","25,565.44","25,341.14",7.95K,-0.66%,
"May 03, 2016","25,229.70","25,500.14","25,705.96","25,192.94",11.28K,-0.81%,
"May 04, 2016","25,101.73","25,210.87","25,245.70","25,061.04",16.32K,-0.51%,
"May 05, 2016","25,262.21","25,187.66","25,394.10","25,162.94",11.74K,0.64%,
"May 06, 2016","25,228.50","25,223.67","25,260.48","25,057.93",11.63K,-0.13%,
"May 09, 2016","25,688.86","25,321.83","25,709.68","25,302.86",12.13K,1.82%,
"May 10, 2016","25,772.53","25,682.98","25,809.93","25,614.24",10.76K,0.33%,
"May 11, 2016","25,597.02","25,548.97","25,762.49","25,409.24",9.59K,-0.68%,
"May 12, 2016","25,790.22","25,684.60","25,827.03","25,620.27",10.07K,0.75%,
"May 13, 2016","25,489.57","25,739.94","25,743.69","25,400.27",12.86K,-1.17%,
"May 16, 2016","25,653.23","25,528.80","25,688.46","25,351.62",13.30K,0.64%,
"May 17, 2016","25,773.61","25,756.14","25,927.31","25,733.76",11.77K,0.47%,
"May 18, 2016","25,704.61","25,671.48","25,747.00","25,503.40",10.09K,-0.27%,
"May 19, 2016","25,399.72","25,713.84","25,714.56","25,351.99",14.78K,-1.19%,
"May 20, 2016","25,301.90","25,428.42","25,506.06","25,251.90",13.99K,-0.39%,
"May 23, 2016","25,230.36","25,447.72","25,519.26","25,207.78",11.74K,-0.28%,
"May 24, 2016","25,305.47","25,256.97","25,340.47","25,181.47",10.99K,0.30%,
"May 25, 2016","25,881.17","25,432.10","25,897.87","25,430.59",9.77K,2.27%,
"May 26, 2016","26,366.68","26,008.25","26,398.94","25,941.51",14.34K,1.88%,
"May 27, 2016","26,653.60","26,415.93","26,677.43","26,405.28",21.42K,1.09%,
"May 30, 2016","26,725.60","26,694.75","26,794.96","26,623.33",15.33K,0.27%,
"May 31, 2016","26,667.96","26,817.75","26,837.20","26,561.58",27.32K,-0.22%,
"Jun 01, 2016","26,713.93","26,684.46","26,857.25","26,671.86",13.85K,0.17%,
"Jun 02, 2016","26,843.14","26,694.28","26,885.16","26,641.02",11.37K,0.48%,
"Jun 03, 2016","26,843.03","26,919.23","27,008.14","26,792.07",13.40K,0.00%,
"Jun 06, 2016","26,777.45","26,897.84","26,901.42","26,729.54",9.03K,-0.24%,
"Jun 07, 2016","27,009.67","26,833.54","27,082.63","26,829.53",15.26K,0.87%,
"Jun 08, 2016","27,020.66","27,085.24","27,105.41","26,973.71",12.90K,0.04%,
"Jun 09, 2016","26,763.46","26,994.48","26,994.91","26,692.35",10.37K,-0.95%,
"Jun 10, 2016","26,635.75","26,742.26","26,972.06","26,620.50",10.39K,-0.48%,
"Jun 13, 2016","26,396.77","26,468.27","26,468.27","26,262.27",9.37K,-0.90%,
"Jun 14, 2016","26,395.71","26,482.50","26,485.45","26,264.81",8.02K,0.00%,
"Jun 15, 2016","26,726.34","26,500.79","26,752.59","26,446.59",12.75K,1.25%,
"Jun 16, 2016","26,525.46","26,686.03","26,686.03","26,314.91",13.00K,-0.75%,
"Jun 17, 2016","26,625.91","26,653.85","26,730.55","26,538.51",9.59K,0.38%,
"Jun 20, 2016","26,866.92","26,497.11","26,885.49","26,447.88",9.82K,0.91%,
"Jun 21, 2016","26,812.78","26,907.42","26,925.64","26,754.60",7.20K,-0.20%,
"Jun 22, 2016","26,765.65","26,791.68","26,887.29","26,617.45",7.88K,-0.18%,
"Jun 23, 2016","27,002.22","26,753.20","27,060.98","26,736.52",9.62K,0.88%,
"Jun 24, 2016","26,397.71","26,367.48","26,435.85","25,911.33",25.20K,-2.24%,
"Jun 27, 2016","26,402.96","26,347.81","26,493.51","26,262.72",18.94K,0.02%,
"Jun 28, 2016","26,524.55","26,410.66","26,583.33","26,378.46",8.42K,0.46%,
"Jun 29, 2016","26,740.39","26,627.15","26,776.17","26,606.31",7.89K,0.81%,
"Jun 30, 2016","26,999.72","26,926.17","27,069.23","26,872.59",8.93K,0.97%,
"Jul 01, 2016","27,144.91","27,064.33","27,243.36","27,061.40",10.27K,0.54%,
"Jul 04, 2016","27,278.76","27,314.44","27,385.66","27,251.06",8.63K,0.49%,
